ind,t0,t1,F
B1,6,8,1
B2,4,5,0
B3,6,7,0
B4,7,7,0
B5,6,6,0
B6,6,8,4
B7,6,6,0
B8,6,7,0
B9,5,7,0
B10,7,7,1
B11,6,7,0
B12,6,5,0
B13,5,6,0
B14,4,5,0
B15,4,4,0
B16,4,4,1
B17,6,7,0
B18,6,9,0
B19,2,3,0
B20,6,7,0
B21,6,7,0
B22,6,6,0
B23,4,4,3
B24,6,7,0
B25,6,7,0
B26,4,5,0
B27,5,5,0
B28,4,5,0
B29,3,5,0
B30,3,4,0
B31,3,5,0
B32,3,4,0
B33,5,4,0
B34,3,3,0
B35,5,5,0
B36,3,3,0
B37,5,5,0
B38,4,4,0
B39,5,5,0
B40,3,3,0
B41,6,5,0
B42,5,6,0
B43,5,4,0
B44,2,3,0
B45,3,3,0
B46,5,4,0
B47,4,5,0
B48,4,4,0
B49,4,3,0
B50,3,2,0
B51,5,4,0
B52,5,4,0
B53,5,4,0
B54,3,3,0
B55,5,5,0
B56,3,4,0
B57,6,5,0
B58,3,4,0
B59,2,2,0
B60,4,4,0
B61,2,3,0
B62,4,4,0
B63,2,4,0
B64,3,5,0
B65,3,4,0
B66,2,3,0
B67,5,4,0
B68,3,3,0
B69,4,4,0
B70,3,3,0
B71,4,4,0
B72,4,3,0
B73,3,4,0
B74,4,4,0
B75,4,3,0
B76,2,3,0
B77,2,3,0
B78,4,4,0
B79,3,3,0
B80,4,4,0
B81,2,3,0
B82,4,5,0
B83,4,3,0
B84,7,8,0
B85,5,4,0
B86,5,5,0
B87,6,5,0
B88,5,5,0
B89,4,4,0
B90,5,4,0
B91,2,5,0
B92,4,5,0
B93,6,5,0
B94,4,5,0
B95,3,3,0
B96,4,4,0
B97,6,6,0
B98,5,5,0
B99,3,3,0
B100,3,3,0
B101,7,6,0
B102,6,10,12.17213115
B103,6,6,0
B104,6,6,0
B105,3,4,0
B106,5,4,0
B107,3,3,0
B108,5,5,0
B109,6,6,0
B110,5,8,2
B111,5,5,0
B112,6,5,0
B113,3,4,0
B114,4,4,0
B115,6,5,0
B116,7,6,0
B117,7,6,2.581967213
B118,6,5,0
B119,9,9,0
B120,8,8,12
B121,6,6,0
B122,5,8,0
B123,7,10,8
B124,4,4,0
B126,2,2,0
B127,4,10,2
B128,5,6,0
B129,4,8,0
B130,3,6,1
B131,5,7,0
B132,4,8,0
B133,2,3,0
B134,4,4,0
B135,5,4,1
B136,6,7,0
B137,5,5,0
B138,5,6,0
B139,5,4,0
B140,5,5,0
B141,5,5,0
B142,5,4,0
B143,7,7,0
B144,5,3,0
B145,4,3,0
B146,4,3,0
B147,8,8,0
B148,5,7,0
B149,6,8,0.368852459
B150,6,6,1
